,uwb25,uwb21,overlap_percentage
105,506,507,100.0
106,508,508,99.99999999999997
107,509,509,100.0
108,521,510,99.99999999999997
109,522,511,92.8323765442403
110,528,512,100.00000000000004
111,512,513,100.00000000000003
112,511,514,99.99999687695016
113,510,515,100.00000000000003
114,515,516,100.00000000000003
115,520,517,99.99999979228676
116,525,518,53.14445744202443
117,524,519,100.00000000000003
118,526,520,100.0
119,527,521,100.00000000000003
120,513,522,100.00000000000003
121,514,523,99.99999999999999
122,516,524,100.0
123,517,525,100.00000000000003
124,519,526,99.99999999999997
125,600,600,99.99999999525974
126,603,601,99.99999999999996
127,604,602,100.0
128,601,603,99.99999999999997
129,602,604,100.0
130,605,605,99.99999999999996
131,606,606,99.88224157851255
132,609,607,100.00000000000003
133,610,608,100.0
134,611,609,99.99999719058826
135,612,610,99.99999999999997
136,613,611,99.99999999999997
137,615,612,78.31268440237093
138,616,613,99.99999992241612
139,618,614,99.99999999999997
140,619,615,100.00000000000003
141,620,616,99.99999947946021
142,621,617,99.99999999999999
143,622,618,99.99999999121955
144,624,620,100.0
145,625,621,99.99999833396228
146,626,622,64.97558336906968
147,627,623,84.66328195871155
148,628,625,50.435066486989456
149,700,700,100.00000000000003
150,702,701,70.82502531985814
151,704,702,80.6140865912783
152,703,703,99.99999925989952
153,705,704,100.00000000000003
154,706,705,100.0
155,707,706,99.99999999999996
156,708,707,100.00000000000003
157,710,708,79.18540488357486
158,712,710,100.00000000000003
159,714,711,99.99999992233334
160,713,712,72.17072798661673
161,716,713,55.40409134669029
162,715,714,99.99999992974266
163,718,716,100.00000000000003
164,719,718,99.99999992352177
165,721,719,99.99999999999999
166,726,720,99.99999999999997
167,720,721,99.99999959054794
168,722,722,65.69383476392633
169,728,724,81.06524198145006
170,727,725,100.00000000000003
171,103,102,50.64272826191634
172,102,100,99.99999999213806
173,100,124,71.99832826548288
174,113,110,68.66699921752621
175,121,111,55.83776942160462
176,122,114,55.904977196163706
177,123,114,72.21476561330314
178,117,122,65.88421130882648
179,202,202,52.518534233366665
180,216,223,51.7473821104516
181,301,300,100.00000000000003
182,302,301,53.3821277626232
183,329,324,100.00000000000004
184,328,326,54.91125325420633
185,425,425,58.34695488284169
186,426,426,55.79321068835791
187,507,507,51.14192762748442
188,518,526,100.0
189,523,518,100.0
190,608,600,99.99999968903892
191,607,610,53.009172498870896
192,614,612,65.34717191482916
193,617,619,66.02228618441983
194,623,618,62.86373396289466
195,629,624,99.9999968677346
196,701,701,99.9999994875185
197,709,709,70.38820346919825
198,711,709,99.99999999999999
199,717,715,64.195753945785
200,724,715,53.87066630907634
201,725,720,52.877166333169235
202,723,721,46.724028849181735
203,111,109,99.99999762917452
204,125,123,67.40203804715826
205,400,400,100.0
206,417,419,56.78499704132464
207,422,422,60.52901220754416
208,420,416,49.698763418846056
